id,postal,unmatched_postcode,web,age,date,day_of_week,postcode,sex,household_size,occupation,total_contacts
268,1,0,0,87,29/05/2009,2,SG7 6AW,1,2,retired,10
269,1,0,0,87,29/05/2009,2,PE29 1QW,0,1,retired,13
270,1,0,0,32,29/05/2009,2,B14 6EB,0,3,home,17
271,1,0,0,81,29/05/2009,2,MK14 5JS,1,2,retired,1
272,1,0,0,46,29/05/2009,2,B13 9HU,1,3,unknown,4
273,1,0,0,82,29/05/2009,2,PE6 8TF,0,1,home,5
274,1,0,0,60,29/05/2009,2,PE7 3YN,0,1,retired,114
275,1,0,0,62,29/05/2009,2,NR1 4NA,0,1,retired,7
276,1,0,0,67,29/05/2009,2,NR20 4EY,1,2,retired,16
277,1,0,0,39,29/05/2009,2,NR12 8QN,0,4,health,11
278,1,0,0,56,29/05/2009,2,NR1 2QY,0,2,teaching,75
279,1,0,0,59,29/05/2009,2,NR27 9DR,0,1,retired,10
280,1,0,0,47,29/05/2009,2,-,1,4,home,16
281,1,0,0,42,29/05/2009,2,PE2 5SR,1,1,unemployed,2
282,1,0,0,59,29/05/2009,2,PE28 5XD,0,1,retired,7
283,1,0,0,56,29/05/2009,2,NR15 1AJ,1,2,research,4
284,1,0,0,75,29/05/2009,2,NR35 2JE,1,2,retired,3
285,1,0,0,34,29/05/2009,2,CB10 2GA,0,3,home,11
286,1,0,0,85,29/05/2009,2,PE28 5XD,1,2,retired,10
287,1,0,0,67,29/05/2009,2,PE28 3AG,0,1,retired,20
288,1,0,0,43,29/05/2009,2,CB22 3AR,0,4,research,14
289,1,0,0,60,29/05/2009,2,NR3 2NA,0,1,public,33
290,1,0,0,65,29/05/2009,2,PE21 9DE,1,1,retired,10
291,1,0,0,45,29/05/2009,2,PE3 6BW,0,1,unemployed,6
292,1,0,0,65,29/05/2009,2,PE6 8AN,1,3,retired,4
293,1,0,0,64,29/05/2009,2,PE1 2QL,0,2,retired,14
294,1,0,0,59,29/05/2009,2,SG6 1DW,0,4,office,67
295,1,0,0,72,29/05/2009,2,-,1,2,labour,15
296,1,0,0,61,29/05/2009,2,SG13 8AN,0,1,retired,13
297,1,0,0,54,29/05/2009,2,SG9 0RT,0,2,home,70
298,1,0,0,54,29/05/2009,2,NR13 5AF,0,3,home,37
299,1,0,0,54,29/05/2009,2,SG5 3RS,1,2,teaching,138
300,1,0,0,71,29/05/2009,2,OX2 7TG,1,2,retired,5
301,1,0,0,60,29/05/2009,2,PE8 6XX,1,3,retired,7
302,1,0,0,44,29/05/2009,2,BN3 5SB,0,6,home,11
303,1,0,0,47,29/05/2009,2,WD6 4TS,0,2,office,13
304,1,0,0,59,29/05/2009,2,LU5 4AH,0,2,home,12
305,1,0,0,59,29/05/2009,2,LU3 3JG,0,2,retired,10
306,1,0,0,30,29/05/2009,2,OX7 5PT,0,3,home,11
307,1,0,0,55,29/05/2009,2,OX10 9QJ,1,2,health,37
308,1,0,0,74,29/05/2009,2,OX16 3WS,1,2,retired,6
309,1,0,0,64,29/05/2009,2,NR7 8NQ,0,2,retired,23
310,1,0,0,34,29/05/2009,2,OX4 3AP,0,2,health,37
311,1,0,0,52,29/05/2009,2,OX39 4QU,0,2,office,13
312,1,0,0,37,29/05/2009,2,OX3 7QE,0,3,office,16
313,1,0,0,57,29/05/2009,2,OX33 1BN,0,2,office,26
314,1,0,0,53,29/05/2009,2,OX2 7TG,0,4,teaching,56
315,1,0,0,27,29/05/2009,2,OX29 8DH,0,2,unknown,5
316,1,0,0,41,29/05/2009,2,OX4 3AP,1,1,research,6
317,1,0,0,61,29/05/2009,2,LU1 1TF,0,2,health,58
318,1,0,0,65,29/05/2009,2,CB4 2PX,0,1,retired,12
319,1,0,0,31,29/05/2009,2,SG1 5LQ,0,1,office,15
320,1,0,0,48,29/05/2009,2,WS15 3QH,-1,6,service,15
321,1,0,0,29,29/05/2009,2,IP1 5PW,0,1,public,78
322,1,0,0,37,29/05/2009,2,IP7 5AR,0,5,office,15
323,1,0,0,78,29/05/2009,2,IP6 0RW,1,2,retired,12
324,1,0,0,51,29/05/2009,2,OX14 1JQ,1,1,research,15
325,1,0,0,62,29/05/2009,2,OX26 2JH,0,2,retired,8
326,1,0,0,23,29/05/2009,2,OX10 0HA,0,2,office,8
327,1,0,0,52,29/05/2009,2,OX16 0EB,1,1,office,7
328,1,0,0,62,29/05/2009,2,OX29 8DH,0,2,retired,5
329,1,0,0,46,29/05/2009,2,OX25 2RE,0,1,office,16
330,1,0,0,18,29/05/2009,2,MK41 7BG,0,3,student,51
331,1,0,0,49,29/05/2009,2,B63 4DS,1,2,service,56
332,1,0,0,62,29/05/2009,2,ST7 2XY,1,2,health,8
333,1,0,0,61,29/05/2009,2,WS9 8JT,0,2,retired,12
334,1,0,0,64,29/05/2009,2,WS15 3QH,0,2,retired,9
335,1,0,0,81,29/05/2009,2,WV3 9HU,1,1,retired,2
336,1,0,0,65,29/05/2009,2,WS12 4AQ,0,1,retired,19
337,1,0,0,50,29/05/2009,2,LD8 2NX,0,2,home,15
338,1,0,0,66,29/05/2009,2,DY10 2PP,1,2,retired,4
339,1,0,0,43,29/05/2009,2,ST16 3JX,0,1,office,16
340,1,0,0,54,29/05/2009,2,DY8 5UZ,1,4,health,11
341,1,0,0,64,29/05/2009,2,WS15 3QJ,0,1,retired,14
342,1,0,0,83,29/05/2009,2,DY8 3AH,1,1,retired,4
343,1,0,0,69,29/05/2009,2,ST15 0LD,0,2,office,14
344,1,0,0,67,29/05/2009,2,CB23 8TH,0,2,retired,4
345,1,0,0,48,29/05/2009,2,CB1 7UF,1,2,service,32
346,1,0,0,69,29/05/2009,2,-,0,1,unknown,8
347,1,0,0,44,29/05/2009,2,CB5 8QT,0,1,service,35
348,1,0,0,51,29/05/2009,2,B63 4DT,1,1,office,19
349,1,0,0,42,29/05/2009,2,OX4 6BT,0,2,office,7
350,1,0,0,74,29/05/2009,2,B70 8HP,1,1,retired,3
351,1,0,0,43,29/05/2009,2,B97 4PA,0,5,service,109
352,1,0,0,30,29/05/2009,2,B79 0JP,0,5,teaching,55
353,1,0,0,30,29/05/2009,2,IP17 1BJ,0,1,office,17
354,1,0,0,72,29/05/2009,2,IP14 1LE,1,2,retired,6
355,1,0,0,50,29/05/2009,2,IP1 4EQ,0,6,office,43
356,1,0,0,66,29/05/2009,2,IP17 3NG,0,2,retired,1
357,1,0,0,71,29/05/2009,2,IP23 7EE,0,1,retired,52
358,1,0,0,86,29/05/2009,2,CB22 3AR,1,2,retired,4
359,1,0,0,31,29/05/2009,2,MK41 9QW,0,3,public,59
360,1,0,0,66,29/05/2009,2,MK40 3UA,1,3,home,4
361,1,0,0,53,29/05/2009,2,MK2 2LA,0,3,service,50
362,1,0,0,49,29/05/2009,2,MK18 3JH,0,3,service,31
363,1,0,0,54,29/05/2009,2,B92 9DN,0,4,health,70
364,1,0,0,55,29/05/2009,2,RG27 8QY,0,2,teaching,7
365,1,0,0,56,29/05/2009,2,B23 6AX,1,2,retired,9
366,1,0,0,79,29/05/2009,2,B77 3PS,0,1,retired,85
367,1,0,0,33,29/05/2009,2,B97 5PJ,0,4,home,13
368,1,0,0,78,29/05/2009,2,B97 5PJ,0,1,home,6
369,1,0,0,61,29/05/2009,2,B61 8HY,1,1,retired,11
370,1,0,0,79,29/05/2009,2,B75 7DX,0,3,retired,2
371,1,0,0,28,29/05/2009,2,B98 9JX,0,2,public,37
372,1,0,0,45,29/05/2009,2,MK5 6GA,0,4,office,23
373,1,0,0,46,29/05/2009,2,MK6 2DT,1,2,service,31
374,1,0,0,60,29/05/2009,2,MK18 1NZ,1,2,retired,11
375,1,0,0,45,29/05/2009,2,MK7 6HT,1,4,unknown,11
376,1,0,0,58,29/05/2009,2,B29 5SJ,0,1,health,59
377,1,0,0,33,29/05/2009,2,B27 7NB,1,3,student,13
378,1,0,0,46,29/05/2009,2,B71 2QG,1,1,transport,20
379,1,0,0,22,29/05/2009,2,B79 8HU,0,3,service,70
380,1,0,0,61,29/05/2009,2,PE3 6BW,1,1,retired,6
381,1,0,0,52,29/05/2009,2,PE7 3BW,0,2,service,13
382,1,0,0,28,29/05/2009,2,PE19 1PF,0,2,service,12
383,1,0,0,76,29/05/2009,2,IP23 7EE,1,2,retired,4
384,1,0,0,66,29/05/2009,2,PE6 8TF,-1,2,retired,4
385,1,0,0,74,29/05/2009,2,NR2 2BW,0,1,retired,5
386,1,0,0,53,29/05/2009,2,NR32 3LB,0,3,service,14
387,1,0,0,64,29/05/2009,2,CB23 8TH,0,2,retired,18
388,1,0,0,37,29/05/2009,2,CB8 9NF,0,5,home,311
389,1,0,0,57,29/05/2009,2,CB1 9PB,0,2,retired,5
390,1,0,0,61,29/05/2009,2,B91 1DA,1,2,retired,32
391,1,0,0,74,29/05/2009,2,IP14 2PJ,1,2,retired,13
392,1,0,0,45,29/05/2009,2,B64 7NE,0,1,office,35
393,1,0,0,57,29/05/2009,2,ST4 2NP,1,2,retired,10
